StoreID,Year,Month,RevenueTarget,TransactionTarget
S001,2024,1,185000,1850
S001,2024,2,175000,1750
S001,2024,3,195000,1950
S001,2024,4,210000,2100
S001,2024,5,235000,2350
S001,2024,6,255000,2550
S001,2024,7,275000,2750
S001,2024,8,265000,2650
S001,2024,9,225000,2250
S001,2024,10,205000,2050
S001,2024,11,245000,2450
S001,2024,12,295000,2950
S002,2024,1,95000,950
S002,2024,2,90000,900
S002,2024,3,100000,1000
S002,2024,4,110000,1100
S002,2024,5,125000,1250
S002,2024,6,135000,1350
S002,2024,7,145000,1450
S002,2024,8,140000,1400
S002,2024,9,120000,1200
S002,2024,10,105000,1050
S002,2024,11,130000,1300
S002,2024,12,155000,1550
S003,2024,1,65000,650
S003,2024,2,60000,600
S003,2024,3,70000,700
S003,2024,4,75000,750
S003,2024,5,85000,850
S003,2024,6,90000,900
S003,2024,7,95000,950
S003,2024,8,92000,920
S003,2024,9,80000,800
S003,2024,10,72000,720
S003,2024,11,88000,880
S003,2024,12,105000,1050
S004,2024,1,78000,780
S004,2024,2,74000,740
S004,2024,3,82000,820
S004,2024,4,88000,880
S004,2024,5,100000,1000
S004,2024,6,108000,1080
S004,2024,7,115000,1150
S004,2024,8,112000,1120
S004,2024,9,95000,950
S004,2024,10,86000,860
S004,2024,11,105000,1050
S004,2024,12,125000,1250
S005,2024,1,145000,1450
S005,2024,2,138000,1380
S005,2024,3,152000,1520
S005,2024,4,165000,1650
S005,2024,5,185000,1850
S005,2024,6,200000,2000
S005,2024,7,215000,2150
S005,2024,8,208000,2080
S005,2024,9,178000,1780
S005,2024,10,160000,1600
S005,2024,11,195000,1950
S005,2024,12,235000,2350
S006,2024,1,68000,680
S006,2024,2,64000,640
S006,2024,3,72000,720
S006,2024,4,78000,780
S006,2024,5,88000,880
S006,2024,6,95000,950
S006,2024,7,102000,1020
S006,2024,8,98000,980
S006,2024,9,85000,850
S006,2024,10,76000,760
S006,2024,11,92000,920
S006,2024,12,110000,1100
S007,2024,1,58000,580
S007,2024,2,55000,550
S007,2024,3,62000,620
S007,2024,4,68000,680
S007,2024,5,78000,780
S007,2024,6,85000,850
S007,2024,7,90000,900
S007,2024,8,88000,880
S007,2024,9,75000,750
S007,2024,10,68000,680
S007,2024,11,82000,820
S007,2024,12,98000,980
S008,2024,1,98000,980
S008,2024,2,92000,920
S008,2024,3,102000,1020
S008,2024,4,112000,1120
S008,2024,5,128000,1280
S008,2024,6,138000,1380
S008,2024,7,148000,1480
S008,2024,8,142000,1420
S008,2024,9,122000,1220
S008,2024,10,108000,1080
S008,2024,11,132000,1320
S008,2024,12,158000,1580
S009,2024,1,52000,520
S009,2024,2,48000,480
S009,2024,3,55000,550
S009,2024,4,60000,600
S009,2024,5,68000,680
S009,2024,6,74000,740
S009,2024,7,80000,800
S009,2024,8,76000,760
S009,2024,9,66000,660
S009,2024,10,58000,580
S009,2024,11,72000,720
S009,2024,12,85000,850
S010,2024,1,75000,750
S010,2024,2,70000,700
S010,2024,3,78000,780
S010,2024,4,85000,850
S010,2024,5,96000,960
S010,2024,6,105000,1050
S010,2024,7,112000,1120
S010,2024,8,108000,1080
S010,2024,9,92000,920
S010,2024,10,82000,820
S010,2024,11,100000,1000
S010,2024,12,120000,1200
S011,2024,1,58000,580
S011,2024,2,54000,540
S011,2024,3,62000,620
S011,2024,4,68000,680
S011,2024,5,78000,780
S011,2024,6,85000,850
S011,2024,7,92000,920
S011,2024,8,88000,880
S011,2024,9,75000,750
S011,2024,10,66000,660
S011,2024,11,82000,820
S011,2024,12,98000,980
S012,2024,1,62000,620
S012,2024,2,58000,580
S012,2024,3,68000,680
S012,2024,4,75000,750
S012,2024,5,88000,880
S012,2024,6,98000,980
S012,2024,7,108000,1080
S012,2024,8,105000,1050
S012,2024,9,88000,880
S012,2024,10,78000,780
S012,2024,11,95000,950
S012,2024,12,115000,1150
